Physical Conditions Disappear After Writing Solemn Statements Regretting Disrespectful Remarks,Các vấn đề về sức khoẻ biến mất sau khi viết nghiêm chính thanh minh
"Once Jailed for Five Years With Pension Suspended, 76-year-old Woman Again Sentenced to Five Years","Từng bị bỏ tù 5 năm và bị treo lương hưu, một cụ bà 76 tuổi lại bị kết án thêm 5 năm tù"
Sichuan Man Dies After Enduring Ten Years of Incarceration and Torture,Một người đàn ông ở tỉnh Tứ Xuyên bị chết sau 10 năm bị giam giữ và tra tấn
"Once Incarcerated for 17 Years, Hunan Man Arrested Again for Practicing Falun Gong","Từng bị giam 17 năm, một người đàn ông ở tỉnh Hồ Nam lại bị bắt vì tu luyện Pháp Luân Công"
The Changes in My Family After They Read “How Humankind Came To Be”,Gia đình của tôi đã thay đổi sau khi họ đọc kinh văn “Vì sao có nhân loại”
Master’s Article “How Humankind Came To Be” Is Very Powerful,Bài viết “Vì sao có nhân loại” của Sư phụ có sức ảnh hưởng mạnh mẽ
Recovery from Decades-Long Heart Disease after Quitting the CCP,Khỏi bệnh tim kéo dài suốt 28 năm sau khi thoái ĐCSTQ
"Additional Persecution News from China – March 8, 2023 (18 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – ngày 8 tháng 3 năm 2023 (18 báo cáo)
"Additional Persecution News from China – March 16, 2023 (15 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – ngày 16 tháng 3 năm 2023 (15 báo cáo)
Judge Admits to Sentencing Falun Gong Practitioner Based on Government Policy,Thẩm phán thừa nhận việc kết án học viên Pháp Luân Công dựa trên chính sách của chính phủ
Chinese Residents Thank Falun Dafa Practitioners for Clarifying the Facts,Người dân Trung Quốc cảm ơn các học viên Pháp Luân Đại Pháp vì đã giảng chân tướng cho họ
Believing in Falun Dafa Brings Blessings,Tin tưởng vào Đại Pháp đắc được phước báo
"Additional Persecution News from China – March 12, 2023 (22 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – Ngày 12 tháng 3 năm 2023 (22 báo cáo)
"Additional Persecution News from China – March 11, 2023 (20 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – ngày 11 tháng 3 năm 2023 (20 báo cáo)
Heilongjiang Man Detained for Seven Months and Counting for His Faith,Một người đàn ông ở tỉnh Hắc Long Giang bị giam 7 tháng vì tín ngưỡng của mình
Belated News: 71-year-old Woman’s Pension Suspended during Three-year Wrongful Sentence,Tin muộn: Một cụ bà 71 tuổi bị treo lương hưu trong 3 năm chịu án tù sai trái
"Jilin City, Jilin Province: Four Residents, Including a Married Couple and Their Daughter, Arrested","Thành phố Cát Lâm, tỉnh Cát Lâm: Bốn cư dân đã bị bắt giữ, trong đó có một cặp vợ chồng và con gái của họ"
Authorities to Continue to Harass Elderly Woman Suffering Torture-Induced Mental Disorder,Người phụ nữ lớn tuổi vốn bị tra tấn đến rối loạn tâm thần lại tiếp tục bị chính quyền sách nhiễu
Gansu Woman Faces Prison Sentence Based on Fabricated Evidence,Tỉnh Cam Túc: Một người phụ nữ bị buộc tội bởi những bằng chứng ngụy tạo và đối mặt với án tù
"Additional Persecution News from China – March 14, 2023 (17 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – ngày 14 tháng 3 năm 2023 (17 báo cáo)
Grandmother Hospitalized After Being Detained for Nine Months for Practicing Falun Gong,Một người bà phải nhập viện sau 9 tháng bị giam giữ vì tu luyện Pháp Luân Công
Persecution of Falun Dafa Practitioners by Jiangjin District 610 Office and Domestic Security Office in Chongqing,Tội ác của Phòng 610 quận Giang Tân và Đội An ninh Nội địa ở Trùng Khánh trong cuộc bức hại Pháp Luân Công
Six Falun Gong Practitioners Tortured in a Shandong Brainwashing Center,Tỉnh Sơn Đông: Sáu học viên Pháp Luân Công bị tra tấn ở trong trung tâm tẩy não
"Son Sentenced to 4 Years, Father to Face Trial – Both for Their Faith in Falun Gong","Con trai bị kết án tù 4 năm, người cha đối mặt với xét xử vì đức tin của họ vào Pháp Luân Công"
"Additional Persecution News from China – March 10, 2023 (19 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – ngày 10 tháng 3 năm 2023 (19 báo cáo)
"Crimes of Yang Hongmei, Vice President of the Changli County Court, Hebei Province, in Persecuting Falun Gong","Tội ác của Dương Hồng Mai, Phó Chánh án Tòa án Huyện Xương Lê, tỉnh Hà Bắc, trong cuộc bức hại Pháp Luân Công"
Married Couple Sentenced to One Year in Prison,Người phụ nữ bị kết án 1 năm tù với tội danh “cấu kết với thế lực phản Hoa ở nước ngoài” chỉ vì từng xuất ngoại thăm con
Liaoning Man Convicted for Distributing Falun Gong Materials,Người đàn ông Liêu Ninh bị kết án 2 năm tù vì phân phát tài liệu Pháp Luân Công
Belated News: Auto Mechanic Serves Three Years for Handing Out Falun Dafa DVDs,Tin muộn: Người thợ sửa ô tô bị cầm tù 3 năm vì phân phát đĩa DVD Pháp Luân Đại Pháp
"Crimes of Hao Shuanji and Song Weizhong, Director and Deputy Director of the Jidong Prison Administration Bureau, in Persecuting Falun Gong","Tội ác của Trưởng phòng Hách Thuyên Ký và Phó phòng Tống Duy Trung của Phòng Quản lý Nhà tù Ký Đông, tỉnh Hà Bắc, trong cuộc bức hại Pháp Luân Công"
My 88-Year Old Mother-In-Law Recovered From COVID After Reciting “Falun Dafa Is Good”,Mẹ chồng 88 tuổi của tôi đã khỏi COVID sau khi niệm “Pháp Luân Đại Pháp hảo”
25 Falun Gong Practitioner Deaths Due to Persecution Reported in March 2023,"25 học viên Pháp Luân Công đã qua đời do bị bức hại, theo báo cáo xác nhận vào tháng 3 năm 2023"
Mental Breakdown Resolved After Reading Zhuan Falun,Chứng suy nhược thần kinh biến mất sau khi đọc Chuyển Pháp Luân
My Relatives’ Opinions Changed After Reading “How Humankind Came To Be”,Những người thân của tôi đã thay đổi quan điểm sau khi đọc bài viết “Vì sao có nhân loại”
U.S. House of Representatives Passes Bipartisan Bill Against Forced Organ Harvesting in China,Hạ viện Hoa Kỳ thông qua Dự luật lưỡng đảng nhằm chấm dứt nạn cưỡng bức thu hoạch nội tạng ở Trung Quốc
36-year-old Man Tried for Practicing Falun Gong,Người đàn ông 36 tuổi bị kết án vì tu luyện Pháp Luân Công
Elderly Couple Tortured While Serving Wrongful Prison Terms for Practicing Falun Gong,Hai vợ chồng cao tuổi bị tra tấn trong khi thụ án tù oan sai vì tu luyện Pháp Luân Công
Prosecutor Lists Long-dead Villager as Witness Against Falun Gong Practitioner,Công tố viên liệt kê một thôn dân đã qua đời từ lâu làm nhân chứng chống lại học viên Pháp Luân Công
"Additional Persecution News from China – February 28, 2023 (21 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – ngày 28 tháng 2 năm 2023 (21 báo cáo)
Eight Octogenarians Safe and Sound Amid the Severe Pandemic,Tám cụ già tuổi bát tuần bình an vô sự giữa đại dịch nghiêm trọng
“How Humankind Came To Be” Helps My Brother-in-Law Finally Learn the Truth,Bài viết “Vì sao có nhân loại” đã giúp em rể tôi minh bạch chân tướng
Manager Recovers from Facial Paralysis after Protecting a Falun Dafa Practitioner,Phó giám đốc khỏi chứng liệt mặt sau khi lên tiếng bảo vệ một học viên Pháp Luân Đại Pháp
The Help I Received from Kindhearted People While I Was Detained for My Faith,Nhận được sự giúp đỡ từ những người tốt bụng khi bị giam giữ vì đức tin
"Additional Persecution News from China – March 5, 2023 (20 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – ngày 5 tháng 3 năm 2023 (20 báo cáo)
"Additional Persecution News from China – March 2, 2023 (15 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – ngày 2 tháng 3 năm 2023 (15 báo cáo)
Woman Gets Three Years for Mailing a Letter to New Police Chief Urging Him Not to Persecute Falun Gong,Người phụ nữ bị kết án 3 năm tù vì gửi thư cho tân cục trưởng cảnh sát kêu gọi ông ta không được bức hại Pháp Luân Công
Hebei Man Serving Time for Practicing Falun Gong Denied Family Visitation,Người đàn ông Hà Bắc bị từ chối cho gia đình vào thăm trong thời gian thụ án tù phi pháp vì tu luyện Pháp Luân Công
Former Business Owner is Destitute Due to Persecution of Her Faith,Từ một chủ doanh nghiệp trở thành người nghèo túng do bị chính quyền bức hại vì tu luyện Pháp Luân Công
"Anhui Woman Stands Trial, Testifies How the Police Fabricated Evidence Against Her",Người phụ nữ An Huy vạch trần việc cách cảnh sát ngụy tạo chứng cứ chống lại bà trong phiên tòa phi pháp xét xử bà
Belated News: Hunan Woman Dies Three Months After Prison Release,Tin muộn: Người phụ nữ Hồ Nam qua đời sau 3 tháng được trả tự do khỏi nhà tù
37-year-old Shandong Resident Released a Day After Being Arrested for Practicing Falun Gong,Một cư dân Sơn Đông 37 tuổi được trả tự do sau 1 ngày bị bắt giữ vì tu luyện Pháp Luân Công
Former Chef Survives Ten Years of Torture in Liaoning Prison,Cựu đầu bếp sống sót sau 10 năm bị tra tấn trong Nhà tù Liêu Ninh
Belated News: Drug Experiment on Incarcerated Falun Dafa Practitioner,Tin muộn: Thí nghiệm thuốc trên học viên Pháp Luân Đại Pháp bị giam giữ
Falun Dafa Phrases Keep COVID Away,Chân ngôn Pháp Luân Đại Pháp khiến Covid phải tránh xa
“Can You Tell Me More about Falun Gong?”,“Chị có thể kể cho tôi nghe thêm về Pháp Luân Công không?”
"Additional Persecution News from China – March 9, 2023 (23 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – Ngày 14 tháng 3 năm 2023 (11 báo cáo)
"Widowed Due to Persecution of Falun Gong, Heilongjiang Woman Gets Four Years for Her Faith, Devastated Daughter Dies at 39","Trở thành góa phụ vì cuộc bức hại Pháp Luân Công, người phụ nữ Hắc Long Giang lại bị kết án 4 năm tù vì kiên định đức tin, con gái bà bi phẫn qua đời ở tuổi 39"
"Additional Persecution News from China – March 4, 2023 (18 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – ngày 4 tháng 3 năm 2023 (18 báo cáo)
"Additional Persecution News from China – March 7, 2023 (15 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – ngày 7 tháng 3 năm 2023 (15 báo cáo)
19 Falun Gong Practitioner Deaths Due to Persecution Reported in February 2023,Báo cáo tháng 2 năm 2023: 19 học viên Pháp Luân Công tử vong do bị bức hại
Knowing the Truth Brings Happiness and Blessings,Minh bạch chân tướng có thể mang đến hạnh phúc và phước lành
"Having Endured 12 Years of Hellish Torture, Former Teacher Becomes Incoherent While Serving Latest Term for Her Faith","Sau 12 năm bị tra tấn như ở trong địa ngục, người cựu giáo viên đang xuất hiện tình trạng tinh thần bất thường trong khi chấp hành bản án mới nhất vì kiên định đức tin"
"After Losing Her Husband and Serving a Three-year Sentence, Former Pharmacist Sentenced Again for Her Faith","Sau khi mất chồng và thụ án 3 năm tù, cựu dược sỹ lại bị kết án tù vì kiên định đức tin"
77-year-old Woman Dies While Serving a 13-year Term for Practicing Falun Gong,Cụ bà 77 tuổi qua đời khi đang thụ án 13 năm vì tu luyện Pháp Luân Công
Two Jilin Women Convicted for Talking to People about Falun Gong,Hai người phụ nữ ở Cát Lâm bị kết án vì nói với người dân về Pháp Luân Công
"Jilin Woman Suffers Declining Health After Four Months of Detention, Dies Two Years After Release",Sức khỏe của một người phụ nữ Cát Lâm suy giảm sau 4 tháng bị giam giữ và đã qua đời sau 2 năm được trả tự do
Hebei Man Stands Trial for Practicing Falun Gong,Một người đàn ông ở tỉnh Hà Bắc bị xét xử vì tu luyện Pháp Luân Công
"Former Assistant Principal Twice Jailed, Emaciated After Torture During Latest One-year Term",Cựu phó hiệu trưởng bị bỏ tù 2 lần và gầy hốc hác sau khi bị tra tấn trong khi gần đây nhất phải thi hành án tù 1 năm
Heilongjiang Engineer Tortured for Three Years in Prison for Her Faith,Một kỹ sư ở tỉnh Hắc Long Giang bị tra tấn trong 3 năm bị giam tù vì tín ngưỡng của mình
"Additional Persecution News from China – February 25, 2023 (17 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – ngày 25 tháng 2 năm 2023 (17 báo cáo)
Belated News: Two Guizhou Residents Sentenced to Prison for Practicing Falun Gong,Tin muộn: Hai cư dân ở Quý Châu bị kết án tù vì tu luyện Pháp Luân Công
The Secret to My Centenarian Father’s Longevity,Bí quyết trường thọ của người cha trăm tuổi của tôi
Shandong Woman and Her Daughter-in-Law Convicted for Practicing Falun Gong,Một người phụ nữ ở tỉnh Sơn Đông và con dâu bị kết án tù vì tu luyện Pháp Luân Công
Beijing Couple Sentenced to Prison for Raising Awareness About the Persecution of Falun Gong,Hai vợ chồng ở Bắc Kinh bị kết án tù vì phổ biến thông tin về cuộc đàn áp Pháp Luân Công
"Liaoning Woman Given Three Years in Prison for Her Faith, 90-year-old Mother Dies in Distress","Người phụ nữ Liêu Ninh bị kết án 3 năm tù vì kiên định đức tin, người mẹ 90 tuổi qua đời trong tuyệt vọng"
Lanzhou Man Faces Prison Sentence Again After Serving 19 Years for His Faith,"Từng ngồi tù oan sai 19 năm, một người đàn ông Lan Châu lại đối mặt với án tù vì kiên định đức tin của mình"
"Four Jilin Residents Detained for a Month and Counting, Three Suffering Medical Conditions","Bốn cư dân Cát Lâm đã bị tạm giam 1 tháng, ba người trong số họ đang gặp vấn đề về sức khỏe"
"Additional Persecution News from China – March 6, 2023 (17 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – ngày 6 tháng 3 năm 2023 (17 báo cáo)
"Additional Persecution News from China – March 3, 2023 (23 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – ngày 3 tháng 3 năm 2023 (23 báo cáo)
"Hebei Woman, 68, Stands Trial for Practicing Falun Gong",Người phụ nữ 68 tuổi ở Hà Bắc bị chính quyền Trung Quốc xét xử phi pháp vì tu luyện Pháp Luân Công
Former Business Manager Denied Contact with Family While Serving Wrongful Term for Her Faith,Cựu giám đốc kinh doanh bị tước quyền liên lạc với gia đình trong khi đang thụ án tù oan sai vì kiên định đức tin
Reported in February 2023: 110 Falun Gong Practitioners Sentenced for Their Faith,Báo cáo tháng 2 năm 2023: 110 học viên Pháp Luân Công bị kết án vì kiên định đức tin
"Additional Persecution News from China – March 1, 2023 (13 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – ngày 1 tháng 3 năm 2023 (13 báo cáo)
"Additional Persecution News from China – February 21, 2023 (17 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – ngày 21 tháng 2 năm 2023 (17 báo cáo)
Cases Against Two Sisters for Their Faith Dropped by Local Procuratorate,Viện kiểm sát địa phương quyết định không khởi tố vụ án của hai học viên Pháp Luân Công
"Additional Persecution News from China – February 27, 2023 (13 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – ngày 27 tháng 2 năm 2023 (13 báo cáo)
"Sentenced with Her Daughter and Son-in-law, 68-Year-Old Woman Tortured in Prison","Bà lão 68 tuổi bị kết án cùng con gái, con rể, và bị tra tấn trong tù"
"Additional Persecution News from China – February 24, 2023 (8 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – ngày 24 tháng 2 năm 2023 (8 báo cáo)
"Additional Persecution News from China – February 23, 2023 (16 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – ngày 23 tháng 2 năm 2023 (16 báo cáo)
"Additional Persecution News from China – February 20, 2023 (17 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – Ngày 20 tháng 2 năm 2023 (17 báo cáo)
"After Ten Years of Brutal Torture, Shandong Woman Suffers Mental Breakdown Following Latest Arrest and Dies Three Years Later","Sau 10 năm bị tra tấn tàn nhẫn, người phụ nữ Sơn Đông suy sụp tinh thần sau lần bắt giữ gần nhất và qua đời 3 năm sau đó"
"Crimes of Sun Jianjun, Director of the Qinhuangdao Detention Center, Hebei Province, in Persecuting Falun Gong Practitioners","Tội ác của Giám đốc Trại tạm giam Tần Hoàng Đảo, tỉnh Hà Bắc Tôn Kiến Quân trong cuộc bức hại Pháp Luân Công"
"Crimes of Hao Weifu, Deputy Secretary of the Political and Legal Affairs Committee of the Heilongjiang Provincial Party Committee, in Persecuting Falun Gong",Tội ác của Phó Bí thư Uỷ ban Chính trị và Pháp luật Tỉnh ủy Hắc Long Giang Hác Vĩ Phu trong cuộc đàn áp Pháp Luân Công
"Yushu City, Jilin Province: 10 Arrested and 36 Harassed Prior to the Chinese Communist Party’s “Two Sessions” Event","Thành phố Du Thụ, tỉnh Cát Lâm: 10 học viên bị bắt giữ và 36 người bị sách nhiễu trước kỳ họp “Lưỡng hội” của Đảng Cộng sản Trung Quốc"
Falun Gong Practitioners Harassed During Chinese Communist Party’s Annual Meetings,Học viên Pháp Luân Công bị sách nhiễu trong kỳ họp Lưỡng hội thường niên của Đảng Cộng sản Trung Quốc
"Two Women Wrongfully Convicted, One’s Husband and Another’s Aunt Die in Distress After Witnessing Their Arrests","Hai người phụ nữ bị kết án oan sai, chồng và dì của họ đã qua đời do quá đau khổ sau khi họ bị bắt giữ"
Inner Mongolia Woman Arrested After Five Years in Hiding to Avoid Being Persecuted for Her Faith,Người phụ nữ Nội Mông bị bắt sau năm năm chạy trốn để tránh bị bức hại vì đức tin
Shandong Woman Detained Incommunicado Following Arrest for Practicing Falun Gong,Người phụ nữ Sơn Đông bị biệt giam sau khi bị bắt vì tu luyện Pháp Luân Công
"Changchun City, Jilin Province: 17 Falun Gong Practitioners and Their Family Members Arrested in One Day","Thành phố Trường Xuân, tỉnh Cát Lâm: 17 học viên Pháp Luân Công và người thân bị bắt trong một ngày"
"Having Lost Both Parents to the Persecution of Falun Gong, Beijing Man Dies One Year After Serving Wrongful Prison Term","Mất cha mẹ vì cuộc bức hại Pháp Luân Công, bản thân người đàn ông Bắc Kinh cũng qua đời sau 1 năm mãn hạn án tù oan sai"
Touching Support from People Who Understand What Falun Dafa Is All About,Cảm động trước sự ủng hộ của những người hiểu được chân tướng Pháp Luân Đại Pháp
Married Couple in Shandong Province Face Trial for Practicing Falun Gong,Hai vợ chồng ở tỉnh Sơn Đông đối mặt với xét xử vì tu luyện Pháp Luân Công
Hubei Police: “We Don’t Need Legal Basis to Harass You”,Cảnh sát tỉnh Hồ Bắc: “Chúng tôi không cần cơ sở pháp lý để sách nhiễu các vị”
Devout Lay Buddhist Turned Falun Gong Practitioner Sentenced to Eight Years in Prison for His Faith,Một Phật tử nhiệt thành trở thành học viên Pháp Luân Công bị kết án 8 năm tù vì tín ngưỡng của mình
Lawyer Removed from Court for Defending Client’s Right to Practice Falun Gong,Luật sư bị đưa ra khỏi tòa vì bảo vệ quyền được tập Pháp Luân Công của thân chủ
A Physicist and His Wife Read Master Li’s New Article and Survive COVID,Đôi vợ chồng nhà vật lý học đọc bài viết của Sư phụ Lý và sống sót qua dịch COVID
People Around Me Who Believe in Dafa Are All Safe,Những người xung quanh tôi tin tưởng Đại Pháp đều an toàn trong đại dịch
Touching Support from People Who Understand What Falun Dafa Is All About,Cảm động trước sự ủng hộ của những người hiểu được chân tướng Pháp Luân Đại Pháp
"Four Arrested in One Day for Practicing Falun Gong – Two Sentenced, One Facing Trial, and Another Released","Bốn người đã bị bắt trong 1 ngày vì tu luyện Pháp Luân Công – 2 người bị kết án, một người đang phải đối mặt với việc bị xét xử và người còn lại được phóng thích"
"Additional Persecution News from China – February 19, 2023 (10 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – Ngày 19 tháng 2 năm 2023 (10 báo cáo)
"Crimes of Zhu Xianjun, Former Deputy Director of Hebei Province's 610 Office",Tội ác của cựu Phó giám đốc Phòng 610 tỉnh Hà Bắc Chu Hiện Quân trong cuộc đàn áp Pháp Luân Công
"Crimes of Liu Jinbo, Deputy Governor of Jilin Province, in Persecuting Falun Gong",Tội ác của Phó tỉnh trưởng tỉnh Cát Lâm Lưu Kim Ba trong cuộc đàn áp Pháp Luân Công
"Sixteen Falun Dafa Practitioners Sentenced or Face Prosecution Again, Having Previously Endured Lengthy Prison Terms","Mười sáu học viên Pháp Luân Công từng thụ án tù dài hạn, đến nay tiếp tục bị kết án hoặc phải đối mặt với việc bị truy tố một lần nữa"
"Additional Persecution News from China – February 18, 2023 (10 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – Ngày 18 tháng 2 năm 2023 (10 báo cáo)
Sichuan Woman Appeals Second Wrongful Term in Four Years for Practicing Falun Gong,Một người phụ nữ ở tỉnh Tứ Xuyên kháng án bản án sai trái thứ 2 trong vòng 4 năm vì tu luyện Pháp Luân Công
"After Three Labor Camp Terms Totaling Four Years, Jilin Man Secretly Sentenced for His Faith","Sau 3 án phạt lao động cưỡng bức tổng cộng 4 năm, một người đàn ông ở tỉnh Cát Lâm đã bị bí mật kết án tù vì tín ngưỡng của mình"
15 Falun Gong Practitioner Deaths Due to Persecution Reported in January 2023,15 học viên Pháp Luân Công qua đời vì cuộc bức hại được báo cáo trong tháng 1 năm 2023
19 Years of Imprisonment and Torture for Tapping into TV Network to Spread the Truth (Part 3),19 năm bị cầm tù và tra tấn vì chèn sóng truyền hình để truyền rộng chân tướng (Phần 3)
People Are Highly Receptive To Master’s New Article “How Humankind Came To Be”,Sự tiếp thu cao độ của thế nhân đối với kinh văn mới “Vì sao có nhân loại” của Sư phụ Đại Pháp
"Additional Persecution News from China – February 22, 2023 (14 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – Ngày 22 tháng 2 năm 2023 (14 báo cáo)
71-year-old Man Stands Trial for Practicing Falun Gong,Người đàn ông 71 tuổi bị đưa ra xét xử vì tu luyện Pháp Luân Công
Newly Admitted Falun Gong Practitioners Tortured at Entry Team of Shaanxi Province Women’s Prison,Học viên Pháp Luân Công bị tra tấn ngay khi vừa bị đưa tới đội tiếp nhận người mới của Nhà tù Nữ tỉnh Thiểm Tây
My Son’s Difficult Awakening,Sự thức tỉnh đầy gian nan của con trai tôi
Heilongjiang Man Serving 12 Years for His Faith Suffers Medical Condition After Being Force-fed,Người đàn ông Hắc Long Giang đã đổ bệnh sau khi bị bức thực trong lúc thụ án tù phi pháp 12 năm
26-year-old Woman Arrested and Interrogated for Talking to People about Falun Gong,Một người phụ nữ 26 tuổi bị chính quyền bắt và thẩm vấn vì nói với mọi người về Pháp Luân Công
Jilin Woman Secretly Sentenced to Six Years for Talking to People about the Persecution of Falun Gong,Một phụ nữ Cát Lâm bị kết án bí mật sáu năm tù vì nói chuyện với mọi người về cuộc bức hại Pháp Luân Công
Former Battalion Commander Given Fourth Prison Term for His Faith,Cựu Tiểu đoàn Trưởng bị kết án tù lần thứ tư vì đức tin của mình
80-year-old Woman Jailed for Practicing Falun Gong,Bà cụ 80 tuổi bị cầm tù vì tu luyện Pháp Luân Công
Beijing Resident Feels He Found the Way Home After Hearing “How Humankind Came to Be”,Cư dân Bắc Kinh cảm thấy anh đã tìm ra đường về nhà sau khi nghe bài “Vì sao có nhân loại”
73-year-old Guangdong Man Suffers Frequent Dizziness While Being Detained for His Faith,Một người đàn ông73 tuổi ở tỉnh Quảng Đông thường xuyên bị chóng mặt trong khi giam cầm vì kiên định đức tin
Heilongjiang Woman Sentenced to Eight Years for Her Faith in Falun Gong,Người phụ nữ Hắc Long Giang bị kết án 8 năm tù vì đức tin của bà vào Pháp Luân Công
Former Electrician Imprisoned for His Faith and Denied Family Visits,Cựu thợ điện bị cầm tù và tước quyền thăm thân vì đức tin
"Chongqing Man Dies in Custody, Four Months After Being Arrested for Practicing Falun Gong",Người đàn ông Trùng Khánh qua đời ở trong trại tạm giam sau 4 tháng bị bắt giữ phi pháp vì tu luyện Pháp Luân Công
"Beaten and Deceived by the Police, Jilin Woman Faces Trial for Her Faith in Falun Gong","Bị cảnh sát đánh đập và lừa gạt, người phụ nữ Cát Lâm đối mặt với xét xử vì đức tin vào Pháp Luân Công"
83-year-old Woman Sentenced to One Year for Practicing Falun Gong,Một bà cụ 83 tuổi bị kết án một năm tù vì kiên định tu luyện Pháp Luân Công
"Additional Persecution News from China – February 16, 2023 (10 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – ngày 16 tháng 2 năm 2023 (10 báo cáo)
"Additional Persecution News from China – February 15, 2023 (7 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – ngày 15 tháng 2 năm 2023 (7 báo cáo)
"Crimes of Zhao Yukun, Deputy Secretary of Dalian Political and Legal Affairs Committee and 610 Office Director, in Persecuting Falun Gong","Tội ác của Triệu Ngọc Côn, Phó Bí thư Ủy ban Chính trị và Pháp luật kiêm Trưởng Phòng 610 Thành phố Đại Liên, trong cuộc bức hại Pháp Luân Công"
Furniture Store Owner’s Family Blessed for Understanding the Truth about Dafa,Gia đình của chủ tiệm đồ nội thất được ban phước nhờ hiểu ra chân tướng về Đại Pháp
68-year-old Woman Faces Indictment for Putting Up Falun Gong Posters,Người phụ nữ 68 tuổi đối mặt với bản cáo trạng vì dán áp phích có nội dung về Pháp Luân Công
72-year-old Man Loses Appeal against Unlawful Three-Year Sentence,Người đàn ông 72 tuổi thất bại trong việc kháng cáo bản án 3 năm tù phi pháp
Case Against Guangdong Woman for Practicing Falun Gong Put on Hold,Vụ án của một học viên Pháp Luân Công ở Quảng Đông bị tạm hoãn
"Additional Persecution News from China – February 17, 2023 (7 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – Ngày 17 tháng 2 năm 2023 (7 báo cáo)
"Crimes of Gu Xuefei, Deputy Governor of Henan Province and Director of the Provincial Public Security Bureau, in Persecuting Falun Gong","Những tội ác của Cố Tuyết Phi, Phó Chủ tịch kiêm Giám đốc Công an Tỉnh Hà Nam, trong cuộc bức hại Pháp Luân Công"
"Additional Persecution News from China – February 14, 2023 (11 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – Ngày 14 tháng 2 năm 2023 (11 báo cáo)
"Additional Persecution News from China – February 12, 2023 (9 Reports)",Tin tức bổ sung về cuộc bức hại tại Trung Quốc – Ngày 12 tháng 2 năm 2023 (9 báo cáo)
86-year-old Man Dies Days Before Finishing Wrongful Prison Term for Practicing Falun Gong,Cụ ông 86 tuổi đã qua đời chỉ vài ngày trước thời điểm mãn hạn tù oan sai
"The Hongshan District Brainwashing Center in Wuhan City, Hubei Province","Tội ác của Trung tâm Tẩy não Quận Hồng Sơn ở thành phố Vũ Hán, tỉnh Hồ Bắc"
75-year-old Landlord Loses Tenants Due to Police Harassment for Her Faith,Một người chủ nhà 75 tuổi bị mất khách thuê do cảnh sát sách nhiễu bà vì tín ngưỡng của bà
Shandong Province Police Officer: Deaths in Village After Village During Latest COVID Wave,Sỹ quan cảnh sát tỉnh Sơn Đông: Người chết từ thôn này qua thôn khác trong đại dịch COVID gần đây
555 Perpetrators Involved in Persecution of Falun Gong Met with Consequences in 2022,555 thủ phạm tham gia vào cuộc bức hại Pháp Luân Công bị quả báo trong năm 2022
Reported in January 2023: 117 Falun Gong Practitioners Sentenced for Their Faith,Báo cáo tháng 1 năm 2023: 117 học viên Pháp Luân Công bị kết án vì kiên định đức tin
"Crimes of An Tongyu and Wei Lihui, Directors of Jilin Provincial Women’s Prison, in Persecuting Falun Gong","Những tội ác của An Đồng Vũ và Ngụy Lệ Huệ, phụ trách Trại tù nữ tỉnh Cát Lâm, trong việc đàn áp Pháp Luân Công"
19 Years of Imprisonment and Torture for Tapping Into TV Network to Spread the Truth (Part 2),19 năm bị cầm tù và tra tấn vì chèn sóng truyền hình để truyền rộng chân tướng (Phần 2)
Master Li Saved My Husband Three Times,Sư phụ Lý đã cứu mạng chồng tôi ba lần
“It's a Miracle—I Was Rewarded”,“Thật là một phép màu – Tôi đã được ban phước”
